question_type,canonical_qtype,relationship,keywords,detail_description,supported_in_current_kg
ingredients,ingredients,hasIngredient,"các nguyên liệu, hương vị và mùi thơm tổng thể của món ăn","Nguyên liệu chính của món ăn là gì và vai trò của nó trong món ăn, và chúng đóng góp như thế nào vào hương vị và mùi thơm tổng thể của món ăn",true
side dish,side_dish,servedWith,"món ăn kèm, nước chấm dùng kèm món ăn","Món ăn kèm / nước chấm đi kèm. Món ăn thường được ăn kèm với món gì (nước chấm, rau thơm, …)?",true
origin,origin,originRegion,"địa phương, vùng miền, nguồn gốc","Món có nguồn gốc ở đâu (tỉnh, thành, miền, …)?",true
type of dish,dish_type,dishType,loại món ăn,"Đây là loại món ăn gì (món cơm, món nước, bánh, bún khô, …)?",true
category of ingredient,ingredient_category,hasIngredient -> ingredientCategory,loại nguyên liệu,"Nguyên liệu làm ra món ăn này thuộc loại nào (hải sản, thịt, rau, …)?",true
allergens restrictions,allergen_restrictions,hasIngredient -> hasAllergen,"dị ứng, nguyên liệu hoặc phương pháp chế biến thay thế để món ăn không chứa chất gây dị ứng","Trong món ăn này có chất gây dị ứng nào không, và có những nguyên liệu hoặc phương pháp chế biến thay thế nào để làm cho thực phẩm không chứa chất gây dị ứng",true
cooking technique,cooking_technique,cookingTechnique,"kỹ thuật nấu nướng, ảnh hưởng đến thời gian chuẩn bị, màu sắc, kết cấu và hương vị","Kỹ thuật nấu món này (chiên, xào, luộc, …) là gì? Kỹ thuật này khác biệt như thế nào so với các món tương tự và ảnh hưởng ra sao đến thời gian chuẩn bị, màu sắc, kết cấu và hương vị",true
taste and flavor profile,flavor_profile,flavorProfile,"hương vị và đặc điểm mùi vị, sự cân bằng giữa vị ngọt, mặn, cay","Làm thế nào món ăn tạo nên sự cân bằng giữa vị ngọt, mặn và cay, và sự đa dạng này làm tăng trải nghiệm ẩm thực như thế nào",true
health and nutritional aspects,health_and_nutritional_aspects,hasIngredient,"lợi ích sức khỏe và dinh dưỡng, hàm lượng protein, chất xơ, khoáng chất","So sánh lợi ích dinh dưỡng của món ăn với các món tương tự, nhấn mạnh hàm lượng protein, chất xơ và các chất dinh dưỡng, khoáng chất khác",false
dietary restrictions,dietary_restrictions,hasIngredient -> hasDietary,"chế độ ăn, nguyên liệu hoặc phương pháp chế biến thay thế","Món có phù hợp với chế độ ăn cụ thể (chay, Địa Trung Hải, …) không dựa trên dietaryTag của ingredient (animal_product / plant_based)",true
ingredient substitutions,ingredient_substitutions,Dish -> hasSubRule -> SubRule_X; SubRule_X -> fromIngredient -> Ingredient_1; SubRule_X -> toIngredient -> Ingredient_2,"nguyên liệu thay thế, tương tự","Khả năng thay thế một số nguyên liệu trong món ăn bằng nguyên liệu khác, và ảnh hưởng của việc này đến kết cấu, hương vị và giá trị dinh dưỡng",true
